E_pe,sigma_free,sigma_confined,dipole_D
0.01,2.360763061340892,0.10593471872562216,1.413560555119417
0.025050505050505052,0.3937970819213946,0.09853385175098281,1.3450782206866752
0.0401010101010101,0.2549996669658798,0.09185164601916618,1.2817721018942974
0.05515151515151515,0.20224598605984864,0.085817481161547,1.2232435310117225
0.0702020202020202,0.18015060557096604,0.0803022340980134,1.1686501167588235
0.08525252525252525,0.16444818918064522,0.07517928558063221,1.1171119055548406
0.1003030303030303,0.14990298294604884,0.07034642485647237,1.067875219805929
0.11535353535353535,0.1375917216641637,0.06573141536221991,1.0203686916163832
0.1304040404040404,0.12791402235622673,0.06129056889411482,0.9742096540240927
0.14545454545454545,0.11957167775474427,0.05700418958368331,0.9291862024290505
0.1605050505050505,0.11163069134210482,0.05287066648064989,0.8852268910108946
0.17555555555555558,0.10417490337323648,0.04890025621547289,0.8423649376103821
0.1906060606060606,0.09758038994892264,0.0451093043848543,0.8007018235119032
0.20565656565656565,0.09182523951094484,0.04151544241378187,0.7603740214902125
0.2207070707070707,0.08656602086839997,0.03813406232377849,0.7215254360741541
0.23575757575757578,0.08155007736759705,0.034976130106538286,0.6842868834481672
0.2508080808080808,0.07680484800274856,0.032047197844264214,0.6487627527480303
0.26585858585858585,0.07247781687974929,0.029347350375785983,0.6150240787699938
0.2809090909090909,0.06857962281357842,0.026871780131777538,0.5831067218389899
0.295959595959596,0.06497954219536907,0.024611706122114954,0.553013179215915
0.311010101010101,0.06161914743402508,0.02255541233646082,0.5247166507685842
0.32606060606060605,0.05848510317561191,0.020689251409569613,0.49816623189922876
0.34111111111111114,0.05550075973783686,0.018998524133162675,0.4732924098114085
0.3561616161616162,0.05269433775615468,0.01746819577672291,0.4500123269712289
0.3712121212121212,0.05013801428343398,0.016083443976952966,0.42823450682237957
0.38626262626262625,0.04775540348409647,0.014830052765965655,0.4078629064296839
0.4013131313131313,0.045525812170053505,0.01369467676757844,0.3888002747429215
0.4163636363636364,0.04344561125193603,0.012665001454301428,0.3709508535513074
0.4314141414141414,0.041443148929825105,0.011729823730920337,0.35422248863581796
0.44646464646464645,0.03956683866271398,0.010879073534681455,0.3385282263327363
0.46151515151515154,0.03779699770610454,0.010103792516643935,0.323787457565366
0.4765656565656566,0.03613678934394515,0.009396082527999792,0.3099266675323898
0.4916161616161616,0.034598749194977886,0.008749032987979558,0.2968798307480922
0.5066666666666666,0.03313592172460095,0.00815663415174615,0.2845884875042663
0.5217171717171717,0.03176863622504225,0.007613681778676101,0.2730015363362256
0.5367676767676768,0.030451431158905896,0.007115677506610489,0.262074775587476
0.5518181818181818,0.0292107593266355,0.0066587292015523065,0.25177024280002613
0.5668686868686869,0.02802237177636237,0.0062394545536296475,0.2420553980577989
0.581919191919192,0.02690755703987904,0.00585489147257605,0.23290221678302572
0.5969696969696969,0.025850701014562265,0.005502417549167851,0.22428624720014825
0.612020202020202,0.02485838409945309,0.0051796807917999415,0.2161856983843579
0.6270707070707071,0.023914741268807875,0.0048845422818099855,0.20858060368894918
0.6421212121212121,0.023020350486467646,0.004615031115439655,0.20145210457332813
0.6571717171717172,0.022162548122998633,0.0043693105556929105,0.1947818722323731
0.6722222222222223,0.02134622991639095,0.004145654287574907,0.18855168175501308
0.6872727272727273,0.02056276244694991,0.0039424306773218004,0.1827431271143477
0.7023232323232323,0.01982147566988885,0.0037580934108018475,0.1773374682880381
0.7173737373737373,0.0191124638777022,0.003591176332073036,0.17231558113023565
0.7324242424242424,0.018444884079802985,0.0034402911788250536,0.16765799237643794
0.7474747474747475,0.017804522510079555,0.0033041265705478873,0.16334496711285185
0.7625252525252525,0.017199572874182556,0.003181447595318596,0.15935663372393236
0.7775757575757576,0.016615336170686546,0.0030710950480159482,0.1556731203827262
0.7926262626262626,0.016059723096968175,0.0029719841905923336,0.15227469462476775
0.8076767676767677,0.015522949495172583,0.0028831026895077346,0.14914189128310454
0.8227272727272728,0.015010432889676004,0.00280350781115031,0.14625562457320906
0.8377777777777777,0.014519467286812941,0.0027323229787836367,0.14359728144429873
0.8528282828282828,0.014049379667233243,0.0026687337157370182,0.14114879218293605
0.8678787878787879,0.013603002263151589,0.0026119833632775387,0.13889268487714113
0.8829292929292929,0.013173362543457462,0.002561368467601615,0.13681211852676436
0.897979797979798,0.012765474341023824,0.0025162342906421037,0.13489090528655098
0.9130303030303031,0.012371355039315636,0.0024759703454454445,0.1331135185210517
0.9280808080808081,0.011993896299842693,0.002440006216123701,0.1314650934582105
0.9431313131313132,0.011630451911190212,0.002407807768520002,0.12993142362480734
0.9581818181818181,0.011279047401845592,0.002378873677267312,0.12849895165325073
0.9732323232323232,0.010943236215302247,0.0023527325854703664,0.12715476375000745
0.9882828282828283,0.010618170156792532,0.0023289406504170833,0.1258865820458284
1.0033333333333332,0.010307916452029137,0.002307079712573451,0.12468276213257022
1.0183838383838384,0.01000981627911623,0.0022867560222408745,0.12353229494138367
1.0334343434343434,0.009722883785124327,0.002267599399209351,0.12242481052543149
1.0484848484848486,0.009448826156251408,0.0022492630407376954,0.12135059051849344
1.0635353535353536,0.009183167209960721,0.002231423643390108,0.12030058122173903
1.0785858585858585,0.00892801372901395,0.002213781965830327,0.1192664117958162
1.0936363636363635,0.008681700342947683,0.002196063736736321,0.11824041607144543
1.1086868686868687,0.008442589438729848,0.002178020631034199,0.11721565169350351
1.1237373737373737,0.008213146517813434,0.0021594314896125084,0.11618592254875815
1.1387878787878787,0.007990632721931453,0.002140103429635737,0.11514579623595537
1.1538383838383839,0.007776223534138136,0.002119872792349876,0.11409061641335917
1.1688888888888889,0.007570498927725804,0.0020986059703880272,0.11301651235715568
1.1839393939393938,0.0073711013292687075,0.0020761997379076837,0.11192039669197829
1.198989898989899,0.007179774669949536,0.0020525812385964602,0.11079995638714016
1.214040404040404,0.0069952016099504855,0.002027707529528493,0.10965363498290952
1.229090909090909,0.006816036680618822,0.0020015644737080666,0.1084806008978201
1.2441414141414142,0.006643687014959527,0.0019741652580254065,0.10728070943587178
1.2591919191919192,0.006476293623445406,0.0019455483744774808,0.10605445399865518
1.2742424242424242,0.006313734348617569,0.0019157750836728857,0.10480290659167874
1.2892929292929294,0.006157094284646056,0.001884926666925291,0.10352765532739105
1.3043434343434344,0.006004722308953764,0.0018531013071656345,0.1022307337979646
1.3193939393939393,0.005857295664155458,0.00182041078216001,0.10091454638886187
1.3344444444444445,0.005715359913578183,0.0017869772280046502,0.09958179571754089
1.3494949494949495,0.005577443916362583,0.0017529298182204194,0.09823540705556873
1.3645454545454545,0.005444315793981538,0.0017184016021870381,0.0968784556340123
1.3795959595959595,0.0053159445996712774,0.00168352666521729,0.09551410076142841
1.3946464646464647,0.005190981065023928,0.0016484374377535493,0.09414552145069043
1.4096969696969697,0.005070106476245208,0.0016132623790355758,0.0927758595550222
1.4247474747474747,0.004953111904686156,0.001578124100032671,0.09140817223234844
1.4397979797979799,0.0048389067038814996,0.0015431377240431154,0.0900453880500417
1.4548484848484848,0.004728229149971334,0.001508409663922781,0.08869027203032723
1.4698989898989898,0.004620976130761644,0.0014740368179821885,0.08734540012891381
1.484949494949495,0.004516315554661494,0.001440105962516842,0.08601313708192636
1.5,0.0044149862703100635,0.0014066934793374735,0.08469562208993778
