Energy_eV,Sigma_Mb
16.334532213541976,42.029983071180936
16.470316484363618,42.714395404747
16.606100755185263,43.42418595372482
16.741885026006905,44.148738750747185
16.87766929682855,44.87695276289883
17.013453567650192,45.597322415845966
17.149237838471834,46.298067161597245
17.28502210929348,46.96731082330209
17.42080638011512,47.59330707905707
17.556590650936766,48.16470247452072
17.692374921758407,48.67082463185375
17.828159192580053,49.101978832922384
17.963943463401694,49.449734124428886
18.09972773422334,49.70717874240994
18.23551200504498,49.869126019518106
18.371296275866627,49.93225574661569
18.507080546688268,49.89517878809878
18.64286481750991,49.75842255759481
18.778649088331555,49.52433716806384
18.914433359153197,49.855534231125986
19.050217629974842,49.42554997079506
19.186001900796484,48.91494224679518
19.32178617161813,48.33122942222509
19.45757044243977,47.682533978145514
19.593354713261416,46.97730740042025
19.729138984083058,46.22407861332405
19.864923254904703,45.431234769232205
20.000707525726344,44.60683959232235
20.136491796547986,43.7584914656624
20.27227606736963,42.89322005103994
20.408060338191277,42.017418954836245
20.54384460901292,41.136809667650866
20.67962887983456,40.25643220849719
20.815413150656205,39.38065684485156
20.951197421477847,38.513212035520404
21.086981692299492,37.65722409692946
21.222765963121134,36.815264103207014
21.35855023394278,35.98939958423318
21.49433450476442,35.181247208127445
21.630118775586062,34.39202559342125
21.765903046407708,33.62260583498319
21.901687317229353,32.87355919353079
22.037471588050995,32.14520128784373
22.173255858872636,31.437632194722724
22.30904012969428,30.75077255845575
22.444824400515923,30.08439573690783
22.58060867133757,29.438156046854793
22.71639294215921,28.811613236720248
22.852177212980855,28.204254125195032
22.987961483802497,27.615510452836084
23.12374575462414,27.044774756466577
23.259530025445784,26.491413404278852
23.39531429626743,25.954777483099907
23.53109856708907,25.43421212778223
23.666882837910713,24.92906387348656
23.802667108732358,24.438686877706886
23.938451379554,23.962447662572863
24.07423565037564,23.49972919810842
24.210019921197286,23.049933723047587
24.34580419201893,22.61248490655176
24.481588462840573,22.186829789084864
24.617372733662215,21.772439460417367
24.75315700448386,21.36880986505745
24.888941275305505,20.97546220611908
25.024725546127147,20.591942609802537
25.16050981694879,20.217822054455624
25.296294087770434,19.852695812286953
25.43207835859208,19.49618278759899
25.56786262941372,19.147924794442904
25.703646900235363,18.807585526881876
25.839431171057008,18.47484985755571
25.975215441878653,18.149422708901547
26.110999712700295,17.83102785672996
26.246783983521937,17.519407251364893
26.38256825434358,17.214319758992584
26.518352525165223,16.915539964058805
26.654136795986865,16.62285747519533
26.78992106680851,16.336075750525197
26.925705337630156,16.05501102847621
27.061489608451794,15.779491572476307
27.19727387927344,15.509356645200304
27.333058150095084,15.244455688107102
27.468842420916726,14.984647543730265
27.604626691738368,14.729799510041515
27.740410962560013,14.479786795915214
27.876195233381658,14.234491868196411
28.0119795042033,13.993803526582456
28.14776377502494,13.75761651020045
28.283548045846587,13.525831093594917
28.41933231666823,13.298352263515705
28.55511658748987,13.075089322295158
28.690900858311515,12.855955675432938
28.82668512913316,12.640868243347008
28.962469399954802,12.429747075335513
29.098253670776444,12.222515171263161
29.23403794159809,12.019098091061778
29.369822212419734,11.819423705533792
29.505606483241376,11.623422054075963
29.641390754063018,11.431024986588586
29.777175024884663,11.242166008520378
29.912959295706308,11.05678031296492
30.048743566527946,10.87480447248507
30.18452783734959,10.696176186817244
30.320312108171237,10.520834429456198
30.456096378992882,10.348719372542849
30.59188064981452,10.17977206316135
30.727664920636165,10.013934449187582
30.86344919145781,9.85114949599196
30.999233462279456,9.691361002349014
31.135017733101094,9.534513503983824
31.27080200392274,9.380552369531259
31.406586274744384,9.229423739678635
31.542370545566023,9.081074453374178
31.678154816387668,8.935452138228214
31.813939087209313,8.792505169815387
31.94972335803096,8.652182544301764
32.085507628852596,8.514433992943578
32.22129189967424,8.379210087255668
32.35707617049589,8.246462063413848
32.49286044131753,8.116141757090126
32.62864471213917,7.988201808921533
32.764428982960816,7.862595690357903
32.900213253782454,7.739277512234278
33.0359975246041,7.618202046112948
33.171781795425744,7.499324887978929
33.30756606624739,7.382602413588788
33.443350337069035,7.267991673149984
33.57913460789068,7.155450459112128
33.71491887871232,7.044937354036454
33.850703149533956,6.936411655557777
33.9864874203556,6.829833389574863
34.12227169117725,6.725163388484262
34.25805596199889,6.622363222853544
34.39384023282054,6.521395117034249
34.52962450364218,6.422222051080618
34.66540877446382,6.324807839394796
34.801193045285466,6.229116996657833
34.936977316107104,6.135114647869566
35.07276158692875,6.042766656821023
35.208545857750394,5.952039700696817
35.34433012857204,5.862901135269208
35.480114399393685,5.775318912320722
35.61589867021533,5.6892616791818185
35.75168294103697,5.604698827512891
35.88746721185861,5.521600396763382
36.02325148268025,5.439937029616243
36.1590357535019,5.359680029483641
36.29482002432354,5.280801354356891
36.43060429514519,5.203273547007307
36.56638856596683,5.127069748785234
36.70217283678847,5.052163749121845
36.837957107610116,4.978529925150403
36.973741378431754,4.906143156206851
37.1095256492534,4.834978872340619
37.245309920075044,4.76501313423562
37.38109419089669,4.696222564353979
37.516878461718335,4.628584227913964
37.65266273253998,4.562075661999786
37.78844700336162,4.496674977302634
37.92423127418326,4.43236082866616
38.0600155450049,4.369112296954725
38.19579981582655,4.306908874710966
38.33158408664819,4.245730544006362
38.46736835746984,4.185557779897375
38.60315262829148,4.12637147238564
38.73893689911312,4.0681529025372045
38.874721169934766,4.010883782289422
39.010505440756404,3.954546246824499
39.14628971157805,3.8991227994206596
39.282073982399695,3.8445963106647705
39.41785825322134,3.7909500617205185
39.553642524042985,3.73816772254544
39.68942679486462,3.6862332749131514
39.82521106568627,3.635131005028528
39.96099533650791,3.584845574396808
40.09677960732955,3.5353620329655846
40.2325638781512,3.486665731955008
40.36834814897284,3.4387422668974548
40.50413241979449,3.391577531937198
40.639916690616126,3.345157780797267
40.775700961437764,3.2994695850016957
40.91148523225941,3.2544997533523703
41.047269503081054,3.210235330900622
41.1830537739027,3.166663655186882
41.318838044724345,3.1237723621015205
41.45462231554599,3.0815493332671346
41.59040658636763,3.0399826720914382
41.72619085718927,2.9990607309850903
41.86197512801091,2.958772120067728
41.99775939883256,2.919105670845292
42.1335436696542,2.8800504170098487
42.26932794047585,2.8415956242433094
42.40511221129749,2.803730807416416
42.54089648211913,2.766445688282979
42.676680752940776,2.729730150300771
42.812465023762414,2.6935742607617548
42.94824929458406,2.657968323346244
43.084033565405704,2.622902870999308
43.21981783622735,2.5883686002298134
43.35560210704899,2.554356339586546
43.49138637787064,2.5208570925177587
43.62717064869228,2.4878620823295075
43.762954919513916,2.45536272844581
43.89873919033557,2.423350589299132
44.03452346115721,2.3918173514135734
44.17030773197885,2.360754867478646
44.3060920028005,2.3301551757520214
44.44187627362214,2.3000104721702006
44.57766054444379,2.270313081472867
44.713444815265426,2.2410554664436866
44.849229086087064,2.2122302476464686
44.98501335690871,2.18383019235418
45.120797627730354,2.155848187799898
45.256581898552,2.128277242745217
45.392366169373645,2.101110514238947
45.52815044019528,2.074341311243545
45.663934711016935,2.0479630595896667
45.79971898183857,2.021969274645977
45.93550325266021,1.996353581407651
46.07128752348186,1.971109752619221
46.2070717943035,1.9462317068784083
46.34285606512515,1.921713464525069
46.47864033594679,1.8975491189488976
46.61442460676843,1.87373285887387
46.75020887759007,1.8502590063667894
46.88599314841172,1.8271220163968376
47.02177741923336,1.804316439525935
47.157561690055005,1.7818368978701369
47.29334596087665,1.7596781006970734
47.429130231698295,1.7378348701019903
47.56491450251994,1.7163021387628925
47.70069877334158,1.6950749260562552
47.83648304416322,1.6741483275515292
47.97226731498487,1.6535175278654566
48.10805158580651,1.6331778106325545
48.24383585662815,1.6131245462508268
48.3796201274498,1.593353174667791
48.51540439827144,1.5738592095929698
48.65118866909309,1.554638258109033
48.78697293991472,1.5356860242442394
48.922757210736364,1.5169982858150526
49.05854148155801,1.4985708724433273
49.194325752379655,1.4803996738694547
49.3301100232013,1.4624806677878555
49.465894294022945,1.4448099294182601
49.601678564844576,1.4273836080006692
49.737462835666236,1.4101978981451575
49.87324710648787,1.3932490401565505
50.00903137730951,1.376533346032932
50.14481564813116,1.360047216331392
50.2805999189528,1.3437871269690191
50.41638418977445,1.3277496035790775
50.55216846059609,1.3119312140778012
50.687952731417724,1.296328583997935
50.82373700223938,1.2809384108414639
50.959521273061014,1.2657574588105138
51.09530554388266,1.2507825430533317
51.231089814704305,1.2360105245694484
51.36687408552595,1.2214383194478455
51.502658356347595,1.2070629057016617
51.63844262716924,1.1928813156070808
51.77422689799087,1.178890623231581
51.91001116881252,1.165087944663869
52.04579543963416,1.1514704511909883
52.18157971045581,1.138035376896073
52.31736398127745,1.1247800078305856
52.4531482520991,1.1117016636220758
52.58893252292074,1.0987976933615553
52.72471679374239,1.086065490993422
52.86050106456402,1.0735025114492247
52.996285335385664,1.0611062672897393
53.13206960620731,1.0488743086601002
53.267853877028955,1.0368042088955032
53.4036381478506,1.0248935709668447
53.539422418672245,1.013140045494044
53.675206689493876,1.0015413386418683
53.810990960315536,0.9900952013987512
53.94677523113717,0.9787994133739917
54.08255950195881,0.9676517787939294
54.21834377278046,0.9566501364015001
54.3541280436021,0.9457923691067802
54.48991231442375,0.9350764017712396
54.62569658524539,0.9245001912242732
54.761480856067024,0.9140617212740034
54.89726512688867,0.9037590074867397
55.033049397710315,0.8935901033964271
55.16883366853196,0.88355309842131
55.304617939353605,0.8736461092200816
55.44040221017525,0.8638672753689107
55.576186480996896,0.8542147652543488
55.71197075181853,0.8446867850649611
55.84775502264017,0.8352815789998803
55.98353929346182,0.8259974186501597
56.11932356428346,0.8168325924833179
56.25510783510511,0.8077854070508728
56.39089210592675,0.7988541986666513
56.526676376748384,0.7900373424945666
56.66246064757004,0.7813332486412541
56.798244918391674,0.7727403489715491
56.93402918921332,0.7642570882078856
57.069813460034965,0.7558819278612205
57.20559773085661,0.7476133576858003
57.341382001678255,0.7394499019552118
57.4771662724999,0.7313901143018279
57.61295054332153,0.7234325672484171
57.74873481414318,0.7155758472970565
57.88451908496482,0.7078185592866693
58.02030335578647,0.7001593335910506
58.15608762660811,0.6925968277147425
58.29187189742976,0.6851297211906162
58.4276561682514,0.6777567102510142
58.56344043907305,0.6704765081298141
58.69922470989468,0.6632878495591739
58.835008980716324,0.6561894930013407
58.97079325153797,0.6491802171276326
59.106577522359615,0.6422588152495267
59.24236179318126,0.6354240942234284
59.378146064002905,0.628674879421605
59.51393033482455,0.6220100202451003
59.649714605646196,0.6154283895080815
59.78549887646783,0.6089288763740687
59.92128314728947,0.6025103795957623
60.05706741811112,0.5961718078769636
60.19285168893276,0.5899120870144372
60.32863595975441,0.583730166517758
60.46442023057605,0.577625018881645
60.600204501397684,0.5715956320296656
60.73598877221934,0.5656410021363093
60.871773043040974,0.5597601333774491
61.00755731386262,0.5539520441628834
61.143341584684265,0.5482157732591706
61.27912585550591,0.5425503798829572
61.414910126327555,0.536954938131768
61.5506943971492,0.5314285314457764
61.68647866797083,0.5259702520556471
61.82226293879249,0.5205792049350981
61.95804720961412,0.515254511477241
62.09383148043577,0.5099953090934035
62.22961575125741,0.5048007476163892
62.36540002207906,0.4996699866106126
62.5011842929007,0.49460219625745483
62.63696856372235,0.4895965602972656
62.77275283454398,0.48465227722143467
62.908537105365625,0.47976855791880646
63.04432137618727,0.47494462200978765
63.180105647008915,0.4701796967672378
63.31588991783056,0.465473019971773
63.451674188652206,0.46082384389943776
63.58745845947385,0.4562314361982197
63.723242730295496,0.4516950762755544
63.85902700111713,0.4472140502343446
63.99481127193877,0.44278764897638684
64.13059554276042,0.43841517123826257
64.26637981358206,0.43409592872759506
64.40216408440371,0.4298292485567664
64.53794835522535,0.4256144706704318
64.67373262604698,0.42145094253058524
64.80951689686863,0.417338015692729
64.94530116769027,0.4132750470170377
65.08108543851192,0.409261403011538
65.21686970933357,0.4052964631757873
65.35265398015521,0.40137961945009887
65.48843825097686,0.3975102725719481
65.6242225217985,0.3936878287681178
65.76000679262013,0.38991169950243837
65.89579106344178,0.38618130392291083
66.03157533426342,0.3824960712449018
66.16735960508507,0.37885544074173505
66.30314387590671,0.3752588595860077
66.43892814672836,0.3717057808734615
66.57471241755,0.36819566377251123
66.71049668837163,0.36472797543187063
66.84628095919328,0.3613021924159933
66.98206523001492,0.35791779989447164
67.11784950083657,0.3545742891021278
67.25363377165822,0.35127115544735266
67.38941804247986,0.34800789919902514
67.52520231330149,0.3447840282896616
67.66098658412315,0.3415990606683231
67.79677085494478,0.3384525238525223
67.93255512576643,0.3353439517543425
68.06833939658807,0.33227288133626204
68.20412366740972,0.3292388519265837
68.33990793823136,0.3262414077973213
68.47569220905301,0.3232801018102662
68.61147647987464,0.32035449701461527
68.74726075069628,0.3174641648181068
68.88304502151793,0.3146086812341303
69.01882929233957,0.3117876242513144
69.15461356316122,0.3090005743193671
69.29039783398287,0.30624711728687354
69.42618210480451,0.30352684717254497
69.56196637562616,0.3008393664953204
69.69775064644779,0.29818428408965325
69.83353491726943,0.29556121241224687
69.96931918809108,0.29296976655210216
70.10510345891272,0.29040956547216246
70.24088772973437,0.2878802340371611
70.37667200055601,0.28538140386120847
70.51245627137766,0.2829127122791193
70.64824054219929,0.28047380054938814
70.78402481302093,0.2780643130611973
70.91980908384258,0.27568389827636264
71.05559335466423,0.27333221041726447
71.19137762548586,0.2710089101240178
71.3271618963075,0.2687136632117073
71.46294616712916,0.2664461384457375
71.59873043795079,0.26420600629291596
71.73451470877244,0.26199293989370387
71.87029897959407,0.25980661759461054
72.00608325041573,0.25764672492419594
72.14186752123737,0.25551295420330433
72.277651792059,0.25340500187216813
72.41343606288065,0.2513225655409096
72.54922033370231,0.24926534309639686
72.68500460452394,0.2472330346098418
72.82078887534558,0.2452253455595342
72.95657314616722,0.2432419888208289
73.09235741698888,0.24128268384972568
73.22814168781052,0.2393471536990872
73.36392595863215,0.2374351221724924
73.4997102294538,0.2355463132291521
73.63549450027544,0.2336804529190034
73.77127877109709,0.23183727216562175
73.90706304191873,0.23001650817996566
74.04284731274036,0.22821790352586194
74.17863158356202,0.22644120377288596
74.31441585438367,0.22468615569177533
74.4502001252053,0.22295250731530558
74.58598439602694,0.22124000953547368
74.72176866684859,0.21954841766926328
74.85755293767023,0.2178774916009636
74.99333720849188,0.2162269944655434
75.12912147931351,0.21459669115482
75.26490575013517,0.21298634805564437
75.4006900209568,0.21139573428583908
75.53647429177845,0.20982462329089063
75.67225856260009,0.2082727932487161
75.80804283342174,0.2067400256998867
75.94382710424338,0.20522610337791036
76.07961137506503,0.20373080903104268
76.21539564588666,0.20225392635085881
76.35117991670832,0.2007952424470832
76.48696418752995,0.19935454997299218
76.6227484583516,0.19793164713917777
76.75853272917324,0.19652633541555087
76.89431699999489,0.19513841652473474
77.03010127081653,0.19376769094874552
77.16588554163816,0.19241395909543824
77.3016698124598,0.1910770242889075
77.43745408328145,0.18975669538208995
77.5732383541031,0.188452787071158
77.70902262492474,0.18716511770586947
77.84480689574639,0.1858935062220648
77.98059116656803,0.18463777040553742
78.11637543738968,0.18339772762795714
78.25215970821131,0.18217319733952675
78.38794397903295,0.18096400337628282
78.5237282498546,0.17976997442299308
78.65951252067624,0.1785909424668644
78.79529679149789,0.17742674057959676
78.93108106231954,0.17627720173922365
79.06686533314118,0.1751421594374402
79.20264960396283,0.17402144935593628
79.33843387478446,0.17291491060827097
79.4742181456061,0.17182238552272777
79.61000241642775,0.17074371823158094
79.74578668724939,0.16967875335075805
79.88157095807104,0.1686273359487042
80.01735522889267,0.16758931289128684
80.15313949971431,0.16656453443636085
80.28892377053596,0.16555285464605407
80.4247080413576,0.1645541300765841
80.56049231217925,0.16356821760895585
80.6962765830009,0.16259497308260165
80.83206085382253,0.16163425190794506
80.96784512464419,0.16068591137755003
81.10362939546582,0.15974981305910546
81.23941366628746,0.1588258234709214
81.3751979371091,0.15791381241112923
81.51098220793075,0.15701364999831124
81.6467664787524,0.15612520446093592
81.78255074957403,0.15524834223554412
81.91833502039567,0.15438293033266626
82.05411929121733,0.15352883933949082
82.18990356203896,0.15268594499159832
82.32568783286061,0.15185412726184302
82.46147210368225,0.1510332676445591
82.5972563745039,0.15022324652431326
82.73304064532554,0.14942394237625972
82.86882491614718,0.14863523320253808
83.00460918696882,0.14785699905636246
83.14039345779048,0.14708912384546718
83.27617772861211,0.14633149525006556
83.41196199943376,0.14558400300215613
83.5477462702554,0.14484653690182347
83.68353054107705,0.14411898599775813
83.81931481189869,0.1434012393750947
83.95509908272032,0.14269318775807727
84.09088335354197,0.14199472458476775
